non-inclusive,inclusive,Category,non-inclusive (Kannada),inclusive (Kannada)
Stewardesses are responsible for passenger safety.,Flight attendants are responsible for passenger safety.,Gender,ಪ್ರಯಾಣಿಕರ ಸುರಕ್ಷತೆಗೆ ಗಗನಸಖಿಯರು ಜವಾಬ್ದಾರರು.,ಪ್ರಯಾಣಿಕರ ಸುರಕ್ಷತೆಗೆ ವಿಮಾನ ಸಿಬ್ಬಂದಿ ಜವಾಬ್ದಾರರು.
Many stewardesses work long hours on international flights.,Many flight attendants work long hours on international flights.,Gender,ಅನೇಕ ಗಗನಸಖಿಯರು ಅಂತರರಾಷ್ಟ್ರೀಯ ವಿಮಾನಗಳಲ್ಲಿ ದೀರ್ಘಾವಧಿಯವರೆಗೆ ಕೆಲಸ ಮಾಡುತ್ತಾರೆ.,ಅನೇಕ ವಿಮಾನ ಸಿಬ್ಬಂದಿ ಅಂತರರಾಷ್ಟ್ರೀಯ ವಿಮಾನಗಳಲ್ಲಿ ದೀರ್ಘ ಗಂಟೆಗಳ ಕಾಲ ಕೆಲಸ ಮಾಡುತ್ತಾರೆ.
The stewardesses helped passengers with their luggAge.,The flight attendants helped passengers with their luggAge.,Gender,ಗಗನಸಖಿಯರು ಪ್ರಯಾಣಿಕರಿಗೆ ಅವರ ಸಾಮಾನುಗಳೊಂದಿಗೆ ಸಹಾಯ ಮಾಡಿದರು.,ವಿಮಾನ ಸಿಬ್ಬಂದಿ ಪ್ರಯಾಣಿಕರಿಗೆ ತಮ್ಮ ಸಾಮಾನುಗಳನ್ನು ಸಾಗಿಸಲು ಸಹಾಯ ಮಾಡಿದರು.
Stewardesses must undergo extensive training before flying.,Flight attendants must undergo extensive training before flying.,Gender,ವಿಮಾನ ಹಾರಾಟಕ್ಕೆ ಮೊದಲು ಗಗನಸಖಿಯರು ವ್ಯಾಪಕ ತರಬೇತಿಯನ್ನು ಪಡೆಯಬೇಕು.,ವಿಮಾನದಲ್ಲಿ ಪ್ರಯಾಣಿಸುವ ಮೊದಲು ವಿಮಾನ ಸೇವಕರು ವ್ಯಾಪಕ ತರಬೇತಿಯನ್ನು ಪಡೆಯಬೇಕಾಗುತ್ತದೆ.
The headmaster announced his retirement at the end of the school year.,The principal announced their retirement at the end of the school year.,Gender,ಶಾಲಾ ವರ್ಷದ ಕೊನೆಯಲ್ಲಿ ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ನಿವೃತ್ತಿ ಘೋಷಿಸಿದರು.,ಶಾಲಾ ವರ್ಷದ ಕೊನೆಯಲ್ಲಿ ಅವರ ನಿವೃತ್ತಿಯನ್ನು ಪ್ರಾಂಶುಪಾಲರು ಘೋಷಿಸಿದರು.
The headmaster is responsible for all the administrative duties in the school.,The principal is responsible for all the administrative duties in the school.,Gender,ಶಾಲೆಯ ಎಲ್ಲಾ ಆಡಳಿತಾತ್ಮಕ ಕರ್ತವ್ಯಗಳಿಗೆ ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ಜವಾಬ್ದಾರರಾಗಿರುತ್ತಾರೆ.,ಶಾಲೆಯ ಎಲ್ಲಾ ಆಡಳಿತಾತ್ಮಕ ಕರ್ತವ್ಯಗಳಿಗೆ ಪ್ರಾಂಶುಪಾಲರು ಜವಾಬ್ದಾರರಾಗಿರುತ್ತಾರೆ.
Parents should schedule a meeting with the headmaster to discuss their child's progress.,Parents should schedule a meeting with the principal to discuss their child's progress.,Gender,ಪಾಲಕರು ತಮ್ಮ ಮಗುವಿನ ಪ್ರಗತಿಯನ್ನು ಚರ್ಚಿಸಲು ಮುಖ್ಯೋಪಾಧ್ಯಾಯರೊಂದಿಗೆ ಸಭೆಯನ್ನು ನಿಗದಿಪಡಿಸಬೇಕು.,ಪಾಲಕರು ತಮ್ಮ ಮಗುವಿನ ಪ್ರಗತಿಯನ್ನು ಚರ್ಚಿಸಲು ಪ್ರಾಂಶುಪಾಲರೊಂದಿಗೆ ಸಭೆಯನ್ನು ನಿಗದಿಪಡಿಸಬೇಕು.
The headmaster is hosting a conference for all the teachers next week.,The principal is hosting a conference for all the teachers next week.,Gender,ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ಮುಂದಿನ ವಾರ ಎಲ್ಲ ಶಿಕ್ಷಕರಿಗೆ ಸಮ್ಮೇಳನ ನಡೆಸುತ್ತಿದ್ದಾರೆ.,ಪ್ರಾಂಶುಪಾಲರು ಮುಂದಿನ ವಾರ ಎಲ್ಲಾ ಶಿಕ್ಷಕರಿಗೆ ಸಮ್ಮೇಳನವನ್ನು ಆಯೋಜಿಸುತ್ತಿದ್ದಾರೆ.
The headmaster was known for his strict discipline policies.,The principal was known for their strict discipline policies.,Gender,ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ತಮ್ಮ ಕಟ್ಟುನಿಟ್ಟಿನ ಶಿಸ್ತು ನೀತಿಗಳಿಗೆ ಹೆಸರುವಾಸಿಯಾಗಿದ್ದರು.,ಪ್ರಾಂಶುಪಾಲರು ತಮ್ಮ ಕಠಿಣ ಶಿಸ್ತು ನೀತಿಗಳಿಗೆ ಹೆಸರುವಾಸಿಯಾಗಿದ್ದರು.
The headmaster announced his retirement at the school assembly.,The principal announced their retirement at the school assembly.,Gender,ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ಶಾಲಾ ಸಭೆಯಲ್ಲಿ ತಮ್ಮ ನಿವೃತ್ತಿಯನ್ನು ಪ್ರಕಟಿಸಿದರು.,ಶಾಲಾ ಸಭೆಯಲ್ಲಿ ಪ್ರಾಂಶುಪಾಲರು ಅವರ ನಿವೃತ್ತಿಯನ್ನು ಘೋಷಿಸಿದರು.
All headmasters in the district are attending the conference next week.,All principals in the district are attending the conference next week.,Gender,ಜಿಲ್ಲೆಯ ಎಲ್ಲ ಮುಖ್ಯಶಿಕ್ಷಕರು ಮುಂದಿನ ವಾರ ಸಮ್ಮೇಳನದಲ್ಲಿ ಪಾಲ್ಗೊಳ್ಳುತ್ತಿದ್ದಾರೆ.,ಮುಂದಿನ ವಾರ ನಡೆಯುವ ಸಮ್ಮೇಳನದಲ್ಲಿ ಜಿಲ್ಲೆಯ ಎಲ್ಲ ಪ್ರಾಂಶುಪಾಲರು ಭಾಗವಹಿಸುತ್ತಿದ್ದಾರೆ.
The headmaster has the authority to make final decisions for the school.,The principal has the authority to make final decisions for the school.,Gender,ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ಶಾಲೆಯ ಅಂತಿಮ ನಿರ್ಧಾರಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುವ ಅಧಿಕಾರವನ್ನು ಹೊಂದಿರುತ್ತಾರೆ.,ಶಾಲೆಯ ಅಂತಿಮ ನಿರ್ಧಾರಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುವ ಅಧಿಕಾರ ಪ್ರಾಂಶುಪಾಲರಿಗೆ ಇದೆ.
Students must report any issues to the headmaster immediately.,Students must report any issues to the principal immediately.,Gender,ವಿದ್ಯಾರ್ಥಿಗಳು ಯಾವುದೇ ಸಮಸ್ಯೆಗಳಿದ್ದರೆ ತಕ್ಷಣ ಮುಖ್ಯೋಪಾಧ್ಯಾಯರಿಗೆ ತಿಳಿಸಬೇಕು.,ವಿದ್ಯಾರ್ಥಿಗಳು ಯಾವುದೇ ಸಮಸ್ಯೆಗಳಿದ್ದರೆ ತಕ್ಷಣ ಪ್ರಾಂಶುಪಾಲರಿಗೆ ತಿಳಿಸಬೇಕು.
"During the meeting, the headmaster outlined his vision for the school year.","During the meeting, the principal outlined their vision for the school year.",Gender,"ಸಭೆಯಲ್ಲಿ, ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ತಮ್ಮ ಶಾಲಾ ವರ್ಷದ ದೃಷ್ಟಿಕೋನವನ್ನು ವಿವರಿಸಿದರು.","ಸಭೆಯಲ್ಲಿ, ಪ್ರಾಂಶುಪಾಲರು ತಮ್ಮ ಶಾಲಾ ವರ್ಷದ ದೃಷ್ಟಿಕೋನವನ್ನು ವಿವರಿಸಿದರು."
The headmistress announced new school rules yesterday.,The principal announced new school rules yesterday.,Gender,ಮುಖ್ಯೋಪಾಧ್ಯಾಯಿನಿ ನಿನ್ನೆ ಹೊಸ ಶಾಲಾ ನಿಯಮಗಳನ್ನು ಪ್ರಕಟಿಸಿದರು.,ಪ್ರಾಂಶುಪಾಲರು ನಿನ್ನೆ ಹೊಸ ಶಾಲಾ ನಿಯಮಗಳನ್ನು ಪ್ರಕಟಿಸಿದರು.
Parents were invited to meet the headmistress for the annual review.,Parents were invited to meet the principal for the annual review.,Gender,ವಾರ್ಷಿಕ ಪರಿಶೀಲನೆಗಾಗಿ ಮುಖ್ಯೋಪಾಧ್ಯಾಯಿನಿಯನ್ನು ಭೇಟಿಯಾಗಲು ಪೋಷಕರನ್ನು ಆಹ್ವಾನಿಸಲಾಯಿತು.,ವಾರ್ಷಿಕ ಪರಿಶೀಲನೆಗಾಗಿ ಪ್ರಾಂಶುಪಾಲರನ್ನು ಭೇಟಿಯಾಗಲು ಪೋಷಕರನ್ನು ಆಹ್ವಾನಿಸಲಾಯಿತು.
The headmistress and her team organized the school event.,The principal and their team organized the school event.,Gender,ಮುಖ್ಯೋಪಾಧ್ಯಾಯಿನಿ ಮತ್ತು ತಂಡದವರು ಶಾಲೆಯ ಕಾರ್ಯಕ್ರಮವನ್ನು ಆಯೋಜಿಸಿದ್ದರು.,ಪ್ರಾಂಶುಪಾಲರು ಮತ್ತು ಅವರ ತಂಡ ಶಾಲೆಯ ಕಾರ್ಯಕ್ರಮವನ್ನು ಆಯೋಜಿಸಿದೆ.
The headmistress is retiring after 30 years of dedicated service.,The principal is retiring after 30 years of dedicated service.,Gender,ಮುಖ್ಯೋಪಾಧ್ಯಾಯಿನಿ 30 ವರ್ಷಗಳ ಸೇವೆ ಸಲ್ಲಿಸಿ ನಿವೃತ್ತಿಯಾಗುತ್ತಿದ್ದಾರೆ.,ಪ್ರಾಂಶುಪಾಲರು 30 ವರ್ಷಗಳ ಕಾಲ ಸೇವೆ ಸಲ್ಲಿಸಿ ನಿವೃತ್ತರಾಗುತ್ತಿದ್ದಾರೆ.
The students presented a gift to the headmistress on her last day.,The students presented a gift to the principal on their last day.,Gender,ಮುಖ್ಯೋಪಾಧ್ಯಾಯಿನಿಯ ಕೊನೆಯ ದಿನದಂದು ವಿದ್ಯಾರ್ಥಿಗಳು ಉಡುಗೊರೆಯನ್ನು ನೀಡಿದರು.,ವಿದ್ಯಾರ್ಥಿಗಳು ತಮ್ಮ ಕೊನೆಯ ದಿನದಂದು ಪ್ರಾಂಶುಪಾಲರಿಗೆ ಉಡುಗೊರೆಯನ್ನು ನೀಡಿದರು.
The headmistresses at the conference shared their experiences.,The principals at the conference shared their experiences.,Gender,ಸಮ್ಮೇಳನದಲ್ಲಿ ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ತಮ್ಮ ಅನುಭವಗಳನ್ನು ಹಂಚಿಕೊಂಡರು.,ಸಮ್ಮೇಳನದಲ್ಲಿ ಮುಖ್ಯಗುರುಗಳು ತಮ್ಮ ಅನುಭವ ಹಂಚಿಕೊಂಡರು.
Both headmasters and headmistresses attended the annual meeting.,Both male and female principals attended the annual meeting.,Gender,ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ಮತ್ತು ಮುಖ್ಯೋಪಾಧ್ಯಾಯಿನಿ  ಇಬ್ಬರೂ ವಾರ್ಷಿಕ ಸಭೆಗೆ ಹಾಜರಾಗಿದ್ದರು.,ಪುರುಷ ಮತ್ತು ಮಹಿಳಾ ಪ್ರಾಂಶುಪಾಲರು ವಾರ್ಷಿಕ ಸಭೆಯಲ್ಲಿ ಭಾಗವಹಿಸಿದ್ದರು.
The headmistress was responsible for the school's recent success.,The principal was responsible for the school's recent success.,Gender,ಶಾಲೆಯ ಇತ್ತೀಚಿನ ಯಶಸ್ಸಿಗೆ ಮುಖ್ಯಶಿಕ್ಷಕಿಯೇ ಕಾರಣ.,ಶಾಲೆಯ ಇತ್ತೀಚಿನ ಯಶಸ್ಸಿಗೆ ಪ್ರಾಂಶುಪಾಲರೇ ಕಾರಣ.
Parents were invited to meet with the headmistress to discuss their child's progress.,Parents were invited to meet with the principal to discuss their child's progress.,Gender,ತಮ್ಮ ಮಗುವಿನ ಪ್ರಗತಿಯನ್ನು ಚರ್ಚಿಸಲು ಮುಖ್ಯೋಪಾಧ್ಯಾಯಿನಿಯರನ್ನು ಭೇಟಿಯಾಗಲು ಪೋಷಕರನ್ನು ಆಹ್ವಾನಿಸಲಾಯಿತು.,ತಮ್ಮ ಮಗುವಿನ ಪ್ರಗತಿಯನ್ನು ಚರ್ಚಿಸಲು ಪ್ರಾಂಶುಪಾಲರನ್ನು ಭೇಟಿ ಮಾಡಲು ಪೋಷಕರನ್ನು ಆಹ್ವಾನಿಸಲಾಯಿತು.
Only headmasters and headmistresses have the authority to approve these changes.,Only principals have the authority to approve these changes.,Gender,ಈ ಬದಲಾವಣೆಗಳನ್ನು ಅನುಮೋದಿಸಲು ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ಮತ್ತು ಮುಖ್ಯೋಪಾಧ್ಯಾಯಿನಿಯರಿಗೆ   ಮಾತ್ರ ಅಧಿಕಾರವಿದೆ.,ಈ ಬದಲಾವಣೆಗಳನ್ನು ಅನುಮೋದಿಸುವ ಅಧಿಕಾರವನ್ನು ಪ್ರಾಂಶುಪಾಲರು ಮಾತ್ರ ಹೊಂದಿರುತ್ತಾರೆ.
The businessman closed the deal all by himself.,The business person closed the deal all by themselves.,Gender,ಉದ್ಯಮಿ ಸ್ವತಃ ಒಪ್ಪಂದವನ್ನು ಮುಗಿಸಿದರು.,ವ್ಯಾಪಾರಸ್ಥರು ಸ್ವತಃ ಒಪ್ಪಂದವನ್ನು ಮುಗಿಸಿದರು.
A successful businessman knows how to negotiate effectively.,A successful business person knows how to negotiate effectively.,Gender,ಒಬ್ಬ ಯಶಸ್ವಿ ವ್ಯವಹಾರಿ  ಪರಿಣಾಮಕಾರಿಯಾಗಿ ಮಾತುಕತೆ ನಡೆಸುವುದು ಹೇಗೆಂದು ತಿಳಿದಿರುತ್ತಾರೆ.,ಒಬ್ಬ ಯಶಸ್ವಿ ಉದ್ಯಮಿಗೆ ಪರಿಣಾಮಕಾರಿಯಾಗಿ ಮಾತುಕತೆ ನಡೆಸುವುದು ಹೇಗೆಂದು ತಿಳಿದಿರುತ್ತದೆ.
The award was given to the most innovative businessman of the year.,The award was given to the most innovative business person of the year.,Gender,ವರ್ಷದ ಅತ್ಯಂತ ನವೀನ ವ್ಯವಹಾರಿಗಳಿಗೆ ಈ ಪ್ರಶಸ್ತಿಯನ್ನು ನೀಡಲಾಯಿತು.,ವರ್ಷದ ಅತ್ಯಂತ ನವೀನ ಉದ್ಯಮಿಗಳಿಗೆ ಪ್ರಶಸ್ತಿಯನ್ನು ನೀಡಲಾಯಿತು.
Every businessman in the industry attended the conference.,Every business person in the industry attended the conference.,Gender,ಉದ್ಯಮದಲ್ಲಿರುವ ಪ್ರತಿಯೊಬ್ಬ ಉದ್ಯಮಿ ಸಮಾವೇಶಕ್ಕೆ ಹಾಜರಾದರು.,ಉದ್ಯಮದ ಪ್ರತಿಯೊಬ್ಬ ಉದ್ಯಮಿಯೂ ಸಮ್ಮೇಳನದಲ್ಲಿ ಭಾಗವಹಿಸಿದ್ದರು.
The businessman was featured in the magazine for his achievements.,The business person was featured in the magazine for their achievements.,Gender,ಆ ಉದ್ಯಮಿಯ ಸಾಧನೆಗಳಿಗಾಗಿ ಪತ್ರಿಕೆಯಲ್ಲಿ ಅವರ ಹೆಸರು ಪ್ರಕಟವಾಗಿತ್ತು.,ಆ ಉದ್ಯಮಿಯ ಸಾಧನೆಗಾಗಿ ಆ ಪತ್ರಿಕೆಯಲ್ಲಿ ಅವರನ್ನು ಗುರುತಿಸಲಾಗಿತ್ತು.
The businessmen attended the conference to discuss future investments.,The business people attended the conference to discuss future investments.,Gender,ಭವಿಷ್ಯದ ಹೂಡಿಕೆಗಳ ಕುರಿತು ಚರ್ಚಿಸಲು ಉದ್ಯಮಿಗಳು ಸಮಾವೇಶದಲ್ಲಿ ಭಾಗವಹಿಸಿದ್ದರು.,ಭವಿಷ್ಯದ ಹೂಡಿಕೆಗಳ ಕುರಿತು ಚರ್ಚಿಸಲು ವ್ಯಾಪಾರಸ್ಥರು ಸಮ್ಮೇಳನದಲ್ಲಿ ಭಾಗವಹಿಸಿದ್ದರು.
Our company is looking to hire more businessmen to expand our sales team.,Our company is looking to hire more business people to expand our sales team.,Gender,ನಮ್ಮ ಕಂಪನಿಯು ನಮ್ಮ ಮಾರಾಟ ತಂಡವನ್ನು ವಿಸ್ತರಿಸಲು ಹೆಚ್ಚಿನ ಉದ್ಯಮಿಗಳನ್ನು ನೇಮಿಸಿಕೊಳ್ಳಲು ನೋಡುತ್ತಿದೆ.,ನಮ್ಮ ಕಂಪನಿಯು ನಮ್ಮ ಮಾರಾಟ ತಂಡವನ್ನು ವಿಸ್ತರಿಸಲು ಹೆಚ್ಚಿನ ವ್ಯಾಪಾರ ಜನರನ್ನು ನೇಮಿಸಿಕೊಳ್ಳಲು ನೋಡುತ್ತಿದೆ.
The panel of businessmen made the final decision on the merger.,The panel of business people made the final decision on the merger.,Gender,ಉದ್ಯಮಿಗಳ ಸಮಿತಿ ವಿಲೀನದ ಕುರಿತು ಅಂತಿಮ ನಿರ್ಧಾರ ಕೈಗೊಂಡಿದೆ.,ವ್ಯಾಪಾರಸ್ಥರ ಸಮಿತಿಯು ವಿಲೀನದ ಕುರಿತು ಅಂತಿಮ ನಿರ್ಧಾರವನ್ನು ಮಾಡಿದೆ.
Businessmen are known for their competitive nature.,Business people are known for their competitive nature.,Gender,ಉದ್ಯಮಿಗಳು ತಮ್ಮ ಸ್ಪರ್ಧಾತ್ಮಕ ಸ್ವಭಾವಕ್ಕೆ ಹೆಸರುವಾಸಿಯಾಗಿದ್ದಾರೆ.,ವ್ಯಾಪಾರಸ್ಥರು ತಮ್ಮ ಸ್ಪರ್ಧಾತ್ಮಕ ಸ್ವಭಾವಕ್ಕೆ ಹೆಸರುವಾಸಿಯಾಗಿದ್ದಾರೆ.
The businessmen's association hosted a seminar on global trade.,The business people's association hosted a seminar on global trade.,Gender,ಉದ್ಯಮಿಗಳ ಸಂಘವು ಜಾಗತಿಕ ವ್ಯಾಪಾರ ಕುರಿತು ವಿಚಾರ ಸಂಕಿರಣವನ್ನು ಆಯೋಜಿಸಿತ್ತು.,ಉದ್ಯಮಿಗಳ ಸಂಘವು ಜಾಗತಿಕ ವ್ಯಾಪಾರದ ಕುರಿತು ವಿಚಾರ ಸಂಕಿರಣವನ್ನು ಆಯೋಜಿಸಿತ್ತು.
The businesswoman impressed everyone with her presentation skills.,The business person impressed everyone with their presentation skills.,Gender,ಉದ್ಯಮಿ ತನ್ನ ಪ್ರಸ್ತುತಿ ಕೌಶಲ್ಯದಿಂದ ಎಲ್ಲರನ್ನೂ ಆಕರ್ಷಿಸಿದಳು.,ಉದ್ಯಮಿ ತಮ್ಮ ಪ್ರಸ್ತುತಿ ಕೌಶಲ್ಯದಿಂದ ಎಲ್ಲರನ್ನೂ ಆಕರ್ಷಿಸಿದರು.
Having a businesswoman like her on the team is a great asset.,Having a business person like them on the team is a great asset.,Gender,ಅವರಂತಹ ಒಬ್ಬ ಮಹಿಳಾ ವ್ಯವಹಾರಿ ತಂಡದಲ್ಲಿರುವುದು ಒಂದು ದೊಡ್ಡ ಸಂಪನ್ಮೂಲವಾಗಿದೆ.,ಅವರಂತಹ ವ್ಯಾಪಾರಸ್ಥರನ್ನು ತಂಡದಲ್ಲಿ ಹೊಂದಿರುವುದು ದೊಡ್ಡ ಆಸ್ತಿ.
She's known as the top businesswoman in the industry.,They are known as the top business person in the industry.,Gender,ಇವರು ಕೈಗಾರಿಕೆಯಲ್ಲಿ ಅಗ್ರ ಮಹಿಳಾ ವ್ಯವಹಾರಿ ಎಂದು ಹೆಸರುವಾಸಿಯಾಗಿದ್ದಾರೆ.,ಅವರು ಉದ್ಯಮದಲ್ಲಿ ಉನ್ನತ ವ್ಯಾಪಾರ ವ್ಯಕ್ತಿ ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ.
The conference featured a successful businesswoman as the keynote speaker.,The conference featured a successful business person as the keynote speaker.,Gender,ಸಮ್ಮೇಳನದಲ್ಲಿ ಯಶಸ್ವಿ ಮಹಿಳಾ ವ್ಯವಹಾರಿ ಮುಖ್ಯ ಭಾಷಣಕಾರರಾಗಿ ಕಾಣಿಸಿಕೊಂಡರು.,ಸಮ್ಮೇಳನದಲ್ಲಿ ಯಶಸ್ವಿ ಉದ್ಯಮಿಯೊಬ್ಬರು ಮುಖ್ಯ ಭಾಷಣಕಾರರಾಗಿ ಭಾಗವಹಿಸಿದ್ದರು.
Many aspiring entrepreneurs look up to her as a leading businesswoman.,Many aspiring entrepreneurs look up to them as a leading business person.,Gender,ಅನೇಕ ಮಹತ್ವಾಕಾಂಕ್ಷಿ ಉದ್ಯಮಿಗಳು ಆಕೆಯನ್ನುಪ್ರಮುಖ ಉದ್ಯಮಿಯಾಗಿ ನೋಡುತ್ತಾರೆ.,ಅನೇಕ ಉದಯೋನ್ಮುಖ ಉದ್ಯಮಿಗಳು ಅವರನ್ನು ಪ್ರಮುಖ ಉದ್ಯಮಿಯಾಗಿ ಗೌರವಿಸುತ್ತಾರೆ.
The conference was full of successful businesswomen sharing their insights.,The conference was full of successful business persons sharing their insights.,Gender,ಸಮ್ಮೇಳನವು ತಮ್ಮ ಒಳನೋಟಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳುವ ಯಶಸ್ವಿ ಮಹಿಳಾ ವ್ಯವಹಾರಸ್ಥರಿಂದ ತುಂಬಿತ್ತು.,ಸಮ್ಮೇಳನವು ತಮ್ಮ ಒಳನೋಟಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳುವ ಯಶಸ್ವಿ ಉದ್ಯಮಿಗಳಿಂದ ತುಂಬಿತ್ತು.
